MANDT	RUUID	VBELV	POSNV	VBELN	POSNN	VBTYP_N	RFMNG	MEINS	RFWRT	WAERS	VBTYP_V	PLMIN	TAQUI	ERDAT	ERZET	MATNR	BWART	BDART	PLART	LGNUM	AEDAT	FKTYP	BRGEW	GEWEI	VOLUM	VOLEH	FPLNR	FPLTR	RFMNG_FLO	RFMNG_FLT	VRKME	ABGES	SOBKZ	SONUM	KZBEF	NTGEW	LOGSYS	WBSTA	CMETH	MJAHR	STUFE	_DATAAGING
700	AFA4939EE3631FD1A5DF788BECEC0B63	1106956788	000000	0070916774	000050	L	1	EA	193.39	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEC4B63	1107071181	000000	0070916774	000060	L	1	EA	96.99	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECEC8B63	1107193541	000000	0070916774	000070	L	1	EA	96.99	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF788BECECCB63	1107265509	000000	0070916774	000080	L	1	EA	97.29	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF789E633CAB64	1107233972	000000	1300851616	000010	P	1	EA	401.31	INR	M			13.08.2026	15:15:49							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	01	
700	AFA4939EE3631FD1A5DF789E633CCB64	1107233972	000000	1300851616	000020	P	1	EA	892.50	INR	M			13.08.2026	15:15:49							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	01	
700	AFA4939EE3631FD1A5DF78B0D57F6B71	1107409290	000000	0070916774	000090	L	1	EA	76.48	INR	M			13.08.2026	15:15:51													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D57FAB71	1107409330	000000	0070916774	000100	L	1	EA	76.48	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D57FEB71	1107485874	000000	0070916774	000110	L	1	EA	1,397.80	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D5802B71	1107523744	000000	0070916774	000120	L	1	EA	127.50	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D5806B71	1107599885	000000	0070916774	000130	L	1	L	6,175.13	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D580AB71	1107599885	000000	0070916774	000140	L	1	L	5,998.90	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D580EB71	1107599885	000000	0070916774	000150	L	1	L	5,159.49	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D5812B71	1107599885	000000	0070916774	000160	L	1	L	1,675.81	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D5816B71	1107599885	000000	0070916774	000170	L	1	L	7,276.48	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D581AB71	1107599885	000000	0070916774	000180	L	1	L	137.71	INR	M			13.08.2026	15:15:52													000000	1.0000000000000000E+00	1.0000000000000000E+00	L	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D58E8B71	0070916774	000010	1300851617	000010	P	1	EA	96.69	INR	L	+		13.08.2026	15:15:53							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D58EAB71	0070916774	000020	1300851617	000020	P	1	EA	96.69	INR	L	+		13.08.2026	15:15:53							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D58ECB71	0070916774	000030	1300851617	000030	P	1	EA	96.69	INR	L	+		13.08.2026	15:15:53							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								0000	00	
700	AFA4939EE3631FD1A5DF78B0D58EEB71	0070916774	000040	1300851617	000040	P	1	EA	96.69	INR	L	+		13.08.2026	15:15:53							A						000000	1.0000000000000000E+00	1.0000000000000000E+00	EA	0.0000000000000000E+00								                       0000000042                                                                                                                                                                                                                                                                                                                                                                     	                       0000000042                                                                                                                                                                                                                                                                                                                                                                     	                       0000000042                                                                                                                                                                                                                                                                                                                                                                     
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
