MANDT	FKNUM	FKPOS	FKPTY	BUKRS	NETWR	MWSBP	WAERS	MWSKZ	PRSDT	BUDAT	EXTI1	EXTI2	TPLST	VSART	KALSM	KNUMV	WERKS	EKORG	EKGRP	EBELN	EBELP	LBLNI	PARVW	TDLNR	RECHS	KURST	KOSTY	REFTY	REBEL	REPOS	POSTX	KNTTP	BKLAS	STBER	DTBER	UZBER	STFRE	DTFRE	UZFRE	STABR	DTABR	UZABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	LOGSYS	KSTAU	TRFZNA	TRFZNZ	TXJCD	BASWR	SLAND1_A	SLAND1_Z	FKSTO	KZWI1	KZWI2	KZWI3	KZWI4	KZWI5	KZWI6
700	2100024417	000001	Z007	1000	5,394.00	0.00	INR		13.02.2024	13.02.2024	2100024465		1040	01	ZSCL01	0000314912					00000		SP	0013000913			B	8	2100024465	000001	2100024465 RHIHRLYSIDING	K	3101	C	13.02.2024	17:58:07			00:00:00			00:00:00	SCLADMIN	13.02.2024	17:58:07			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100025839	000001	Z007	1000	5,396.40	0.00	INR		14.02.2024	14.02.2024	2100025887		1040	01	ZSCL01	0000330396					00000		SP	0013000913			B	8	2100025887	000001	2100025887 RHIHRLYSIDING	K	3101	C	14.02.2024	07:09:15			00:00:00			00:00:00	SCLADMIN	14.02.2024	07:09:15			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100025922	000001	Z007	1000	5,396.40	0.00	INR		14.02.2024	14.02.2024	2100025960		1040	01	ZSCL01	0000330726					00000		SP	0013000913			B	8	2100025960	000001	2100025960 RHIHRLYSIDING	K	3101	C	14.02.2024	07:48:30			00:00:00			00:00:00	SCLADMIN	14.02.2024	07:48:30			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100025931	000001	Z007	1000	5,407.20	0.00	INR		14.02.2024	14.02.2024	2100025969		1040	01	ZSCL01	0000330769					00000		SP	0013000913			B	8	2100025969	000001	2100025969 RHIHRLYSIDING	K	3101	C	14.02.2024	07:57:56			00:00:00			00:00:00	SCLADMIN	14.02.2024	07:57:56			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100027787	000001	Z007	1000	5,394.00	0.00	INR		15.02.2024	15.02.2024	2100027835		1040	01	ZSCL01	0000360798					00000		SP	0013000913			B	8	2100027835	000001	2100027835 RHIHRLYSIDING	K	3101	C	15.02.2024	03:03:49			00:00:00			00:00:00	SCLADMIN	15.02.2024	03:03:49			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100028279	000001	Z007	1000	5,402.40	0.00	INR		15.02.2024	15.02.2024	2100028327		1040	01	ZSCL01	0000363173					00000		SP	0013000913			B	8	2100028327	000001	2100028327 RHIHRLYSIDING	K	3101	C	15.02.2024	09:09:45			00:00:00			00:00:00	SCLADMIN	15.02.2024	09:09:45			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100028721	000001	Z007	1000	5,407.20	0.00	INR		15.02.2024	15.02.2024	2100028759		1040	01	ZSCL01	0000371158					00000		SP	0013000913			B	8	2100028759	000001	2100028759 RHIHRLYSIDING	K	3101	C	15.02.2024	15:36:16			00:00:00			00:00:00	SCLADMIN	15.02.2024	15:36:16			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100028847	000001	Z007	1000	5,407.20	0.00	INR		15.02.2024	15.02.2024	2100028895		1040	01	ZSCL01	0000373719					00000		SP	0013000913			B	8	2100028895	000001	2100028895 RHIHRLYSIDING	K	3101	C	15.02.2024	16:42:41			00:00:00			00:00:00	SCLADMIN	15.02.2024	16:42:41			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100028893	000001	Z007	1000	5,396.40	0.00	INR		15.02.2024	15.02.2024	2100028943		1040	01	ZSCL01	0000374862					00000		SP	0013000913			B	8	2100028943	000001	2100028943 RHIHRLYSIDING	K	3101	C	15.02.2024	17:06:01			00:00:00			00:00:00	SCLADMIN	15.02.2024	17:06:01			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100029045	000001	Z007	1000	5,407.20	0.00	INR		15.02.2024	15.02.2024	2100029105		1040	01	ZSCL01	0000380182					00000		SP	0013000913			B	8	2100029105	000001	2100029105 RHIHRLYSIDING	K	3101	C	15.02.2024	18:36:17			00:00:00			00:00:00	SCLADMIN	15.02.2024	18:36:17			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100029133	000001	Z007	1000	5,396.40	0.00	INR		15.02.2024	15.02.2024	2100029183		1040	01	ZSCL01	0000382108					00000		SP	0013000913			B	8	2100029183	000001	2100029183 RHIHRLYSIDING	K	3101	C	15.02.2024	19:14:56			00:00:00			00:00:00	SCLADMIN	15.02.2024	19:14:56			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100029310	000001	Z007	1000	5,407.20	0.00	INR		15.02.2024	15.02.2024	2100029350		1040	01	ZSCL01	0000384440					00000		SP	0013000913			B	8	2100029350	000001	2100029350 RHIHRLYSIDING	K	3101	C	15.02.2024	20:07:36			00:00:00			00:00:00	SCLADMIN	15.02.2024	20:07:36			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100029642	000001	Z007	1000	5,396.40	0.00	INR		15.02.2024	15.02.2024	2100029682		1040	01	ZSCL01	0000389296					00000		SP	0013000913			B	8	2100029682	000001	2100029682 RHIHRLYSIDING	K	3101	C	15.02.2024	22:28:06			00:00:00			00:00:00	SCLADMIN	15.02.2024	22:28:06			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100029988	000001	Z007	1000	5,402.40	0.00	INR		16.02.2024	16.02.2024	2100030038		1040	01	ZSCL01	0000391852					00000		SP	0013000913			B	8	2100030038	000001	2100030038 RHIHRLYSIDING	K	3101	C	16.02.2024	01:08:15			00:00:00			00:00:00	SCLADMIN	16.02.2024	01:08:15			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100031742	000001	Z007	1000	5,407.20	0.00	INR		16.02.2024	16.02.2024	2100031783		1040	01	ZSCL01	0000417095					00000		SP	0013000913			B	8	2100031783	000001	2100031783 RHIHRLYSIDING	K	3101	C	16.02.2024	20:46:39			00:00:00			00:00:00	SCLADMIN	16.02.2024	20:46:39			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100031780	000001	Z007	1000	5,407.20	0.00	INR		16.02.2024	16.02.2024	2100031831		1040	01	ZSCL01	0000417519					00000		SP	0013000913			B	8	2100031831	000001	2100031831 RHIHRLYSIDING	K	3101	C	16.02.2024	20:59:59			00:00:00			00:00:00	SCLADMIN	16.02.2024	20:59:59			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100032739	000001	Z007	1000	5,394.00	0.00	INR		17.02.2024	17.02.2024	2100032782		1040	01	ZSCL01	0000424756					00000		SP	0013000913			B	8	2100032782	000001	2100032782 RHIHRLYSIDING	K	3101	C	17.02.2024	05:05:51			00:00:00			00:00:00	SCLADMIN	17.02.2024	05:05:51			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100032873	000001	Z007	1000	5,396.40	0.00	INR		17.02.2024	17.02.2024	2100032916		1040	01	ZSCL01	0000425492					00000		SP	0013000913			B	8	2100032916	000001	2100032916 RHIHRLYSIDING	K	3101	C	17.02.2024	07:48:25			00:00:00			00:00:00	SCLADMIN	17.02.2024	07:48:25			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100032976	000001	Z007	1000	5,394.00	0.00	INR		17.02.2024	17.02.2024	2100033009		1040	01	ZSCL01	0000426318					00000		SP	0013000913			B	8	2100033009	000001	2100033009 RHIHRLYSIDING	K	3101	C	17.02.2024	09:39:27			00:00:00			00:00:00	SCLADMIN	17.02.2024	09:39:27			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100033174	000001	Z007	1000	5,402.40	0.00	INR		17.02.2024	17.02.2024	2100033204		1040	01	ZSCL01	0000429139					00000		SP	0013000913			B	8	2100033204	000001	2100033204 RHIHRLYSIDING	K	3101	C	17.02.2024	13:20:46			00:00:00			00:00:00	SCLADMIN	17.02.2024	13:20:46			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100033193	000001	Z007	1000	5,396.40	0.00	INR		17.02.2024	17.02.2024	2100033223		1040	01	ZSCL01	0000429573					00000		SP	0013000913			B	8	2100033223	000001	2100033223 RHIHRLYSIDING	K	3101	C	17.02.2024	13:35:06			00:00:00			00:00:00	SCLADMIN	17.02.2024	13:35:06			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100033263	000001	Z007	1000	5,407.20	0.00	INR		17.02.2024	17.02.2024	2100033293		1040	01	ZSCL01	0000431673					00000		SP	0013000913			B	8	2100033293	000001	2100033293 RHIHRLYSIDING	K	3101	C	17.02.2024	14:47:46			00:00:00			00:00:00	SCLADMIN	17.02.2024	14:47:46			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100034365	000001	Z007	1000	5,407.20	0.00	INR		17.02.2024	17.02.2024	2100034405		1040	01	ZSCL01	0000452061					00000		SP	0013000913			B	8	2100034405	000001	2100034405 RHIHRLYSIDING	K	3101	C	17.02.2024	22:44:54			00:00:00			00:00:00	SCLADMIN	17.02.2024	22:44:54			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100034654	000001	Z007	1000	5,396.40	0.00	INR		18.02.2024	18.02.2024	2100034694		1040	01	ZSCL01	0000454353					00000		SP	0013000913			B	8	2100034694	000001	2100034694 RHIHRLYSIDING	K	3101	C	18.02.2024	00:55:39			00:00:00			00:00:00	SCLADMIN	18.02.2024	00:55:39			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100034776	000001	Z007	1000	5,407.20	0.00	INR		18.02.2024	18.02.2024	2100034816		1040	01	ZSCL01	0000454954					00000		SP	0013000913			B	8	2100034816	000001	2100034816 RHIHRLYSIDING	K	3101	C	18.02.2024	01:54:46			00:00:00			00:00:00	SCLADMIN	18.02.2024	01:54:46			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100035071	000001	Z007	1000	5,402.40	0.00	INR		18.02.2024	18.02.2024	2100035111		1040	01	ZSCL01	0000456635					00000		SP	0013000913			B	8	2100035111	000001	2100035111 RHIHRLYSIDING	K	3101	C	18.02.2024	05:20:29			00:00:00			00:00:00	SCLADMIN	18.02.2024	05:20:29			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100035127	000001	Z007	1000	5,407.20	0.00	INR		18.02.2024	18.02.2024	2100035167		1040	01	ZSCL01	0000456965					00000		SP	0013000913			B	8	2100035167	000001	2100035167 RHIHRLYSIDING	K	3101	C	18.02.2024	06:23:56			00:00:00			00:00:00	SCLADMIN	18.02.2024	06:23:56			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100035161	000001	Z007	1000	5,402.40	0.00	INR		18.02.2024	18.02.2024	2100035201		1040	01	ZSCL01	0000457106					00000		SP	0013000913			B	8	2100035201	000001	2100035201 RHIHRLYSIDING	K	3101	C	18.02.2024	07:15:09			00:00:00			00:00:00	SCLADMIN	18.02.2024	07:15:09			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100035375	000001	Z007	1000	5,396.40	0.00	INR		18.02.2024	18.02.2024	2100035415		1040	01	ZSCL01	0000458647					00000		SP	0013000913			B	8	2100035415	000001	2100035415 RHIHRLYSIDING	K	3101	C	18.02.2024	09:59:20			00:00:00			00:00:00	SCLADMIN	18.02.2024	09:59:20			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100035628	000001	Z007	1000	5,394.00	0.00	INR		18.02.2024	18.02.2024	2100035668		1040	01	ZSCL01	0000462277					00000		SP	0013000913			B	8	2100035668	000001	2100035668 RHIHRLYSIDING	K	3101	C	18.02.2024	12:46:06			00:00:00			00:00:00	SCLADMIN	18.02.2024	12:46:06			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100037256	000001	Z007	1000	5,407.20	0.00	INR		19.02.2024	19.02.2024	2100037286		1040	01	ZSCL01	0000481031					00000		SP	0013000913			B	8	2100037286	000001	2100037286 RHIHRLYSIDING	K	3101	C	19.02.2024	01:12:10			00:00:00			00:00:00	SCLADMIN	19.02.2024	01:12:10			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100037588	000001	Z007	1000	5,396.40	0.00	INR		19.02.2024	19.02.2024	2100037618		1040	01	ZSCL01	0000482778					00000		SP	0013000913			B	8	2100037618	000001	2100037618 RHIHRLYSIDING	K	3101	C	19.02.2024	04:26:01			00:00:00			00:00:00	SCLADMIN	19.02.2024	04:26:01			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100037606	000001	Z007	1000	5,407.20	0.00	INR		19.02.2024	19.02.2024	2100037636		1040	01	ZSCL01	0000482854					00000		SP	0013000913			B	8	2100037636	000001	2100037636 RHIHRLYSIDING	K	3101	C	19.02.2024	04:32:56			00:00:00			00:00:00	SCLADMIN	19.02.2024	04:32:56			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100037965	000001	Z007	1000	5,402.40	0.00	INR		19.02.2024	19.02.2024	2100037995		1040	01	ZSCL01	0000484853					00000		SP	0013000913			B	8	2100037995	000001	2100037995 RHIHRLYSIDING	K	3101	C	19.02.2024	09:50:41			00:00:00			00:00:00	SCLADMIN	19.02.2024	09:50:41			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100038795	000001	Z007	1000	5,396.40	0.00	INR		19.02.2024	19.02.2024	2100038845		1040	01	ZSCL01	0000503372					00000		SP	0013000913			B	8	2100038845	000001	2100038845 RHIHRLYSIDING	K	3101	C	19.02.2024	18:56:52			00:00:00			00:00:00	SCLADMIN	19.02.2024	18:56:52			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100038905	000001	Z007	1000	5,402.40	0.00	INR		19.02.2024	19.02.2024	2100038945		1040	01	ZSCL01	0000505847					00000		SP	0013000913			B	8	2100038945	000001	2100038945 RHIHRLYSIDING	K	3101	C	19.02.2024	19:37:15			00:00:00			00:00:00	SCLADMIN	19.02.2024	19:37:15			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100040938	000001	Z007	1000	5,394.00	0.00	INR		20.02.2024	20.02.2024	2100040989		1040	01	ZSCL01	0000535678					00000		SP	0013000913			B	8	2100040989	000001	2100040989 RHIHRLYSIDING	K	3101	C	20.02.2024	18:55:58			00:00:00			00:00:00	SCLADMIN	20.02.2024	18:55:58			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100041042	000001	Z007	1000	5,394.00	0.00	INR		20.02.2024	20.02.2024	2100041093		1040	01	ZSCL01	0000537774					00000		SP	0013000913			B	8	2100041093	000001	2100041093 RHIHRLYSIDING	K	3101	C	20.02.2024	19:39:30			00:00:00			00:00:00	SCLADMIN	20.02.2024	19:39:30			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100041538	000001	Z007	1000	5,396.40	0.00	INR		20.02.2024	20.02.2024	2100041599		1040	01	ZSCL01	0000544260					00000		SP	0013000913			B	8	2100041599	000001	2100041599 RHIHRLYSIDING	K	3101	C	20.02.2024	22:54:47			00:00:00			00:00:00	SCLADMIN	20.02.2024	22:54:47			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100042811	000001	Z007	1000	5,396.40	0.00	INR		21.02.2024	21.02.2024	2100042862		1040	01	ZSCL01	0000554839					00000		SP	0013000913			B	8	2100042862	000001	2100042862 RHIHRLYSIDING	K	3101	C	21.02.2024	12:58:34			00:00:00			00:00:00	SCLADMIN	21.02.2024	12:58:34			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100042820	000001	Z007	1000	5,396.40	0.00	INR		21.02.2024	21.02.2024	2100042871		1040	01	ZSCL01	0000555023					00000		SP	0013000913			B	8	2100042871	000001	2100042871 RHIHRLYSIDING	K	3101	C	21.02.2024	13:03:31			00:00:00			00:00:00	SCLADMIN	21.02.2024	13:03:31			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100043001	000001	Z007	1000	5,396.40	0.00	INR		21.02.2024	21.02.2024	2100043052		1040	01	ZSCL01	0000559956					00000		SP	0013000913			B	8	2100043052	000001	2100043052 RHIHRLYSIDING	K	3101	C	21.02.2024	15:37:36			00:00:00			00:00:00	SCLADMIN	21.02.2024	15:37:36			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100043161	000001	Z007	1000	5,396.40	0.00	INR		21.02.2024	21.02.2024	2100043212		1040	01	ZSCL01	0000563221					00000		SP	0013000913			B	8	2100043212	000001	2100043212 RHIHRLYSIDING	K	3101	C	21.02.2024	16:49:05			00:00:00			00:00:00	SCLADMIN	21.02.2024	16:49:05			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100044647	000001	Z007	1000	5,407.20	0.00	INR		22.02.2024	22.02.2024	2100044698		1040	01	ZSCL01	0000582098					00000		SP	0013000913			B	8	2100044698	000001	2100044698 RHIHRLYSIDING	K	3101	C	22.02.2024	04:00:38			00:00:00			00:00:00	SCLADMIN	22.02.2024	04:00:38			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100045250	000001	Z007	1000	5,402.40	0.00	INR		22.02.2024	22.02.2024	2100045301		1040	01	ZSCL01	0000588275					00000		SP	0013000913			B	8	2100045301	000001	2100045301 RHIHRLYSIDING	K	3101	C	22.02.2024	13:10:00			00:00:00			00:00:00	SCLADMIN	22.02.2024	13:10:00			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100045681	000001	Z007	1000	5,407.20	0.00	INR		22.02.2024	22.02.2024	2100045732		1040	01	ZSCL01	0000596218					00000		SP	0013000913			B	8	2100045732	000001	2100045732 RHIHRLYSIDING	K	3101	C	22.02.2024	17:08:20			00:00:00			00:00:00	SCLADMIN	22.02.2024	17:08:20			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00
700	2100045707	000001	Z007	1000	5,402.40	0.00	INR		22.02.2024	22.02.2024	2100045758		1040	01	ZSCL01	0000597103					00000		SP	0013000913			B	8	2100045758	000001	2100045758 RHIHRLYSIDING	K	3101	C	22.02.2024	17:25:11			00:00:00			00:00:00	SCLADMIN	22.02.2024	17:25:11			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
700	2100046094	000001	Z007	1000	5,394.00	0.00	INR		22.02.2024	22.02.2024	2100046145		1040	01	ZSCL01	0000608966					00000		SP	0013000913			B	8	2100046145	000001	2100046145 RHIHRLYSIDING	K	3101	C	22.02.2024	20:17:10			00:00:00			00:00:00	SCLADMIN	22.02.2024	20:17:10			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100047154	000001	Z007	1000	5,396.40	0.00	INR		23.02.2024	23.02.2024	2100047215		1040	01	ZSCL01	0000618271					00000		SP	0013000913			B	8	2100047215	000001	2100047215 RHIHRLYSIDING	K	3101	C	23.02.2024	05:44:52			00:00:00			00:00:00	SCLADMIN	23.02.2024	05:44:52			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00
700	2100047281	000001	Z007	1000	5,394.00	0.00	INR		23.02.2024	23.02.2024	2100047352		1040	01	ZSCL01	0000619149					00000		SP	0013000913			B	8	2100047352	000001	2100047352 RHIHRLYSIDING	K	3101	C	23.02.2024	08:28:37			00:00:00			00:00:00	SCLADMIN	23.02.2024	08:28:37			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100047627	000001	Z007	1000	5,394.00	0.00	INR		23.02.2024	23.02.2024	2100047698		1040	01	ZSCL01	0000625801					00000		SP	0013000913			B	8	2100047698	000001	2100047698 RHIHRLYSIDING	K	3101	C	23.02.2024	12:55:57			00:00:00			00:00:00	SCLADMIN	23.02.2024	12:55:57			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100048152	000001	Z007	1000	5,394.00	0.00	INR		23.02.2024	23.02.2024	2100048203		1040	01	ZSCL01	0000639080					00000		SP	0013000913			B	8	2100048203	000001	2100048203 RHIHRLYSIDING	K	3101	C	23.02.2024	17:11:16			00:00:00			00:00:00	SCLADMIN	23.02.2024	17:11:16			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100048446	000001	Z007	1000	5,394.00	0.00	INR		23.02.2024	23.02.2024	2100048497		1040	01	ZSCL01	0000647758					00000		SP	0013000913			B	8	2100048497	000001	2100048497 RHIHRLYSIDING	K	3101	C	23.02.2024	19:03:12			00:00:00			00:00:00	SCLADMIN	23.02.2024	19:03:12			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00
700	2100048785	000001	Z007	1000	5,402.40	0.00	INR		23.02.2024	23.02.2024	2100048846		1040	01	ZSCL01	0000652553					00000		SP	0013000913			B	8	2100048846	000001	2100048846 RHIHRLYSIDING	K	3101	C	23.02.2024	21:09:14			00:00:00			00:00:00	SCLADMIN	23.02.2024	21:09:14			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00
