SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
TABLE|VTTK
TITLE|Data Browser: Table VTTK Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=149
HDR|MANDT	TKNUM	VBTYP	SHTYP	TPLST	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	STERM	ABFER	ABWST	BFART	VSART	VSAVL	VSANL	LAUFK	VSBED	ROUTE	SIGNI	EXTI1	EXTI2	TPBEZ	STDIS	DTDIS	UZDIS	STREG	DPREG	UPREG	DAREG	UAREG	STLBG	DPLBG	UPLBG	DALBG	UALBG	STLAD	DPLEN	UPLEN	DALEN	UALEN	STABF	DPABF	UPABF	DTABF	UZABF	STTBG	DPTBG	UPTBG	DATBG	UATBG	STTEN	DPTEN	UPTEN	DATEN	UATEN	STTRG	TDLNR	TERNR	PKSTK	DTMEG	DTMEV	DISTZ	MEDST	FAHZT	GESZT	MEIZT	STAFO	FBSTA	FBGST	ARSTA	ARGST	STERM_DONE	VSE_FRK	KKALSM	SDABW	FRKRL	GESZTD	FAHZTD	GESZTDA	FAHZTDA	ROCPY_DONE	HANDLE	TSEGFL	TSEGTP	ADD01	ADD02	ADD03	ADD04	TEXT1	TEXT2	TEXT3	TEXT4	PROLI	DGTLOCK	DGMDDAT	CONT_DG	WARZTD	WARZTDA	AULWE	TNDRST	TNDRRC	TNDR_TEXT	TNDRDAT	TNDRZET	TNDR_MAXP	TNDR_MAXC	TNDR_ACTP	TNDR_ACTC	TNDR_CARR	TNDR_CRNM	TNDR_TRKID	TNDR_EXPD	TNDR_EXPT	TNDR_ERPD	TNDR_ERPT	TNDR_LTPD	TNDR_LTPT	TNDR_ERDD	TNDR_ERDT	TNDR_LTDD	TNDR_LTDT	TNDR_LDLG	TNDR_LDLU	KZHULFR	ALLOWED_TWGT	VLSTK	VERURSYS	CM_IDENT	CM_SEQUENCE	EXT_FREIGHT_ORD	EXT_TM_SYS	/BEV1/RPFAR1	/BEV1/RPFAR2	/BEV1/RPMOWA	/BEV1/RPANHAE	/BEV1/RPFLGNR	/VSO/R_STATUS	ZZVEHICLE_NO	ZZDRIVER_NO	ZZDRIVER_NAME	ZZGROSS_WT	ZZNET_WT	ZZTARE_WT	ZZLR_GR_NO	ZZDRIVERMOB	ZZLR_GR_DATE	
ROW10|700	2101800566	8	Y003	1000	SCLADMIN	17.08.2026	17:23:56	SCLADMIN	17.08.2026	17:23:56	1	1	1	1	01			4		P53806					X	17.08.2026	17:23:56			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	17.08.2026	17:23:56			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	2	KM						C			X			VT13		0	400	0	0	X	kQ6UYyTe7{6cnafJdW66SW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ02GB0812			12.000	2.000	10.000	1000/ABD1		17.08.2026	
ROW11|700	2101800567	8	Y003	1002	SCLADMIN	18.08.2026	11:44:11	SCLADMIN	18.08.2026	11:44:11	1	1	1	1	01			4		P27356					X	18.08.2026	11:44:11			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	18.08.2026	11:44:11			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	2	KM						C			X			VT02		0	400	0	0	X	kQ6UYyTe7{6csO3cbaMvqm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		RJ01GD4175		YASH	0.000	10.000	10.000	1000/MIS/932709	9696530223	18.08.2026	
ROW12|700	2101800568	8	Y003	1005	SCLADMIN	18.08.2026	16:52:02	SCLADMIN	18.08.2026	16:52:02	1	1	1	1	01			4		Q12548					X	18.08.2026	16:52:02			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	18.08.2026	16:52:02			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	199	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6ctk4RhuzbU0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		DL01MA1571		YASH	0.000	10.000	10.000	1000/MIS/932710	9696530223	18.08.2026	
ROW13|700	2101800569	8	Y003	1005	SCLADMIN	18.08.2026	16:52:02	SCLADMIN	18.08.2026	16:52:04	1	1	1	1	01			4		Q12548					X	18.08.2026	16:52:02			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	18.08.2026	16:52:02			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	199	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6ctk4Rhv25U0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		DL01MA1571		YASH	0.000	10.000	10.000	1000/MIS/932711	9696530223	18.08.2026	
ROW14|700	2101800570	8	Y003	1005	SCLADMIN	18.08.2026	16:54:44	SCLADMIN	18.08.2026	16:54:44	1	1	1	1	01			4		Q06054					X	18.08.2026	16:54:44			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	18.08.2026	16:54:44			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	75	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6ctkqNnt16OG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		HR38Z9316		YASH	0.000	10.000	10.000	1000/MIS/932712	9696530223	18.08.2026	
ROW15|700	2101800571	8	Y003	1005	SCLADMIN	18.08.2026	16:54:44	SCLADMIN	18.08.2026	16:54:45	1	1	1	1	01			4		Q06054					X	18.08.2026	16:54:44			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	18.08.2026	16:54:44			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	75	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6ctkqNnt5cOG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		HR38Z9316		YASH	0.000	10.000	10.000	1000/MIS/932713	9696530223	18.08.2026	
ROW16|700	2101800572	8	Y003	1005	SCLADMIN	19.08.2026	12:48:53	SCLADMIN	19.08.2026	12:48:53	1	1	1	1	01			4		Q06054					X	19.08.2026	12:48:53			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	19.08.2026	12:48:53			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	75	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6cyyTTlFKSlW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		DL01MA5352			0.000	10.000	10.000	1005/MIS/30003		19.08.2026	
ROW17|700	2101800573	8	Y003	1005	SCLADMIN	19.08.2026	12:48:53	SCLADMIN	19.08.2026	12:48:55	1	1	1	1	01			4		Q06054					X	19.08.2026	12:48:53			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	19.08.2026	12:48:53			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000730			KG	CDM	75	KM						C			X			VT10		0	80000	0	0	X	kQ6UYyTe7{6cyyTTlFOylW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		DL01MA5352			0.000	10.000	10.000	1005/MIS/30004		19.08.2026	
ROW18|700	9102256272	8	YZ01	8068	SCLADMIN	31.03.2026	10:30:31			00:00:00	1	1	1	1	01			4		E47055					X	31.03.2026	10:30:31			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:30:31			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	62	KM									X					0	22800	0	0	X	3V2DFZPl7z6Bbz5WjS7MBm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB65A2244			0.000	0.000	0.000				
ROW19|700	9102256298	8	YZ01	3751	SCLADMIN	31.03.2026	10:50:29			00:00:00	1	1	1	1	01			4		E24547					X	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	5	KM									X					0	1200	0	0	X	nqCtqNQw7z6Bc2gZE9XI6W		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		PB13AP5250			0.000	0.000	0.000				
ROW20|700	9102256299	8	YZ01	8174	SCLADMIN	31.03.2026	10:50:30			00:00:00	1	1	1	1	01			4		Q06139					X	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	5	KM									X					0	1200	0	0	X	nqCtqNQw7z6Bc2ggP1WI70		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		AP39WB6187			0.000	0.000	0.000				
ROW21|700	9102256308	8	YZ01	6069	SCLADMIN	31.03.2026	10:50:29			00:00:00	1	1	1	1	01			4		E09815					X	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	55	KM									X					0	21200	0	0	X	Y}BlgXPD7z6Bc2gXIq9SMm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		PB03BH0445			0.000	0.000	0.000				
ROW22|700	9102256323	8	YZ01	8177	SCLADMIN	31.03.2026	10:50:29			00:00:00	1	1	1	1	01			4		E42446					X	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	9	KM									X					0	2100	0	0	X	2vgI6G5N7{6Bc2gWJhiF8W		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		CG10BR4330			0.000	0.000	0.000				
ROW23|700	9102256326	8	YZ01	5187	SCLADMIN	31.03.2026	11:00:29			00:00:00	1	1	1	1	01			4		E46108					X	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	60	KM									X					0	22400	0	0	X	2vgI6G5N7z6Bc5TP3dx8R0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB03A5647			0.000	0.000	0.000				
ROW24|700	9102256327	8	YZ01	8174	SCLADMIN	31.03.2026	11:00:29			00:00:00	1	1	1	1	01			4		Q06139					X	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	5	KM									X					0	1200	0	0	X	2vgI6G5N7z6Bc5TSww18R0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		AP39TH2964			0.000	0.000	0.000				
ROW25|700	9102256328	8	YZ01	8174	SCLADMIN	31.03.2026	11:00:29			00:00:00	1	1	1	1	01			4		Q06139					X	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	5	KM									X					0	1200	0	0	X	2vgI6G5N7z6Bc5TW{yr8S0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		AP39WA6295			0.000	0.000	0.000				
ROW26|700	9102256329	8	YZ01	5176	SCLADMIN	31.03.2026	11:00:30			00:00:00	1	1	1	1	01			4		E08632					X	31.03.2026	11:00:30			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:30			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	58	KM									X					0	21900	0	0	X	2vgI6G5N7z6Bc5TbC1s8U0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		PB19A4320			0.000	0.000	0.000				
ROW27|700	9102256330	8	YZ01	8042	SCLADMIN	31.03.2026	11:00:30			00:00:00	1	1	1	1	01			4		E53824					X	31.03.2026	11:00:30			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:30			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	5	KM									X					0	1200	0	0	X	2vgI6G5N7z6Bc5TfZZ58Um		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB813567			0.000	0.000	0.000				
ROW28|700	9102256336	8	YZ01	8034	SCLADMIN	31.03.2026	10:50:29			00:00:00	1	1	1	1	01			4		E42041					X	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	10	KM									X					0	2400	0	0	X	3V2DFZPl7{6Bc2gYEg4K1W		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		JH09AF0104			0.000	0.000	0.000				
ROW29|700	9102256337	8	YZ01	6837	SCLADMIN	31.03.2026	10:50:30			00:00:00	1	1	1	1	01			4		E35303					X	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	10	KM									X					0	40000	0	0	X	3V2DFZPl7{6Bc2gfNTGK2G		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		UP14GF1065			0.000	0.000	0.000				
ROW30|700	9102256341	8	YZ01	8016	SCLADMIN	31.03.2026	10:50:30			00:00:00	1	1	1	1	01			4		E40878					X	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	10:50:30			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	57	KM									X					0	40000	0	0	X	Y}BlgXPD7z6Bc2go5TfSO0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		UK04CC2460			0.000	0.000	0.000				
ROW31|700	9102256343	8	YZ01	4585	SCLADMIN	31.03.2026	11:00:29			00:00:00	1	1	1	1	01			4		E17400					X	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	10	KM									X					0	2400	0	0	X	Y}BlgXPD7{6Bc5TQ6pT6sG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		UP25AB0710			0.000	0.000	0.000				
ROW32|700	9102256344	8	YZ01	8068	SCLADMIN	31.03.2026	11:00:29			00:00:00	1	1	1	1	01			4		E47076					X	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:29			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	82	KM									X					0	31600	0	0	X	Y}BlgXPD7{6Bc5TTukC6tm		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB48F3528			0.000	0.000	0.000				
ROW33|700	9102256346	8	YZ01	4439	SCLADMIN	31.03.2026	11:00:31			00:00:00	1	1	1	1	01			4		E50642					X	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	10	KM									X					0	2400	0	0	X	Y}BlgXPD7{6Bc5Tp7cQ6wG		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		KA22AB0893			0.000	0.000	0.000				
ROW34|700	9102256347	8	YZ01	5187	SCLADMIN	31.03.2026	11:00:31			00:00:00	1	1	1	1	01			4		E46108					X	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	60	KM									X					0	22400	0	0	X	Y}BlgXPD7{6Bc5TxOxR6ym		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB57B2535			0.000	0.000	0.000				
ROW35|700	9102256348	8	YZ01	5187	SCLADMIN	31.03.2026	11:00:31			00:00:00	1	1	1	1	01			4		E46108					X	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:00:31			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	60	KM									X					0	22400	0	0	X	Y}BlgXPD7{6Bc5T}F7w6zW		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB03A2903			0.000	0.000	0.000				
ROW36|700	9102256349	8	YZ01	5187	SCLADMIN	31.03.2026	11:10:31			00:00:00	1	1	1	1	01			4		E46108					X	31.03.2026	11:10:31			00:00:00		00:00:00			00:00:00		00:00:00			00:00:00		00:00:00	X		00:00:00	31.03.2026	11:10:31			00:00:00		00:00:00			00:00:00		00:00:00	5	0013000911			KG	CDM	60	KM									X					0	22400	0	0	X	Y}BlgXPD7{6Bc8GggQ{JA0		WSHDRSTDTR													0	0						00:00:00									00:00:00		00:00:00		00:00:00		00:00:00		00:00:00				0				0000							00000		WB37E4719			0.000	0.000	0.000				
