"BusinessApiId"	"BusinessApiName"	"Project"	"Description"	"CreatedBy"	"CreatedOn"	"LastChangedOn"	"MatchedTerms"	"BusinessObjectFit"	"RequiredOperationFitAtDiscovery"	"CandidateTier"	"CandidateRationale"	"SiblingFamily"	"ExistingDeepDiveStatus"	"RejectionReason"	"EvidenceSource"	"OpenGate"	"ProposedNextAction"	"LocalRuntimeRegistered"
"API-02"	"Create DI"	"API_OUTBOUND_DELIVERY"	"Remote API for Outbound Delivery"	"SAP"	"09.01.2017"	"17.05.2018"	"OUTBOUND DELIVERY; DELIVERY"	"DIRECT"	"PARTIAL"	"TIER-C"	"Superseded ;v=1 generation; sibling baseline only."	"outbound delivery"	"EXTRACTED 2026-08-15"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | OUTBOUND_DELIVERY_DELTA.md"	""	"No further work"	"NO"
"API-02"	"Create DI"	"LE_SHP_OD_CREATE"	"Create Outbound Delivery"	"SAP"	"16.01.2017"	"19.05.2022"	"OUTBOUND DELIVERY; DELIVERY; LE SHP"	"DIRECT"	"UNKNOWN"	"TIER-A"	"Create Outbound Delivery, and ALREADY REGISTERED in QS4 as LE_SHP_OD_CREATE_SRV while the A2X service is not. Changes the activation calculus for API-02."	"LE_SHP delivery creation"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as LE_SHP_OD_CREATE_SRV v1"	"Fiori app service - contract stability and A2X suitability unproven"	"DEEP DIVE - highest-value new discovery for API-02"	"YES"
"API-02"	"Create DI"	"LE_SHP_QC_DLVREF"	"Quick Create: Delivery with ref."	"SAP"	"15.12.2017"	"22.06.2018"	"DELIVERY; LE SHP; CREATE DELIVERY"	"DIRECT"	"UNKNOWN"	"TIER-A"	"Quick Create: Delivery with reference - registered in QS4. Create-from-predecessor is exactly the v1.7 API-02 shape."	"LE_SHP delivery creation"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as LE_SHP_QC_DLVREF_SRV v1"	"Same Fiori-vs-A2X gate as LE_SHP_OD_CREATE"	"DEEP DIVE alongside LE_SHP_OD_CREATE"	"YES"
"API-02"	"Create DI"	"LE_SHP_DELIVERY_CREATE"	"Create Deliveries"	"SAP"	"04.08.2014"	"07.12.2016"	"DELIVERY; LE SHP"	"DIRECT"	"UNKNOWN"	"TIER-B"	"Create Deliveries; same family, not registered."	"LE_SHP delivery creation"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	"Inspect with the LE_SHP family"	"NO"
"API-02"	"Create DI"	"LE_SHP_QC_DLVNOREF"	"Quick Create: Delivery without ref"	"SAP"	"15.12.2017"	"13.05.2022"	"DELIVERY; LE SHP; CREATE DELIVERY"	"RELATED"	"NO"	"REJECTED"	"Quick Create without reference."	"LE_SHP delivery creation"	"N/A"	"v1.7 API-02 always creates from a predecessor document. A no-reference create is the wrong operation."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-02"	"Create DI"	"API_SALES_ORDER"	"Remote API for SD Sales Order"	"SAP"	"04.11.2016"	"24.05.2022"	"SALES ORDER"	"RELATED"	"READ-ONLY"	"TIER-B"	"Trade/Non-trade predecessor read; the ONLY API_* A2X service registered in QS4."	"none"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as API_SALES_ORDER_SRV v1"	"Is a predecessor read needed at all under Option C?"	"DEEP DIVE - registered, so cheap to validate"	"YES"
"API-02"	"Create DI"	"SD_SOFM_DELIVERY"	"Fiori Wave2 SOFM Delivery"	"SAP"	"05.09.2013"	"15.05.2020"	"DELIVERY"	"RELATED"	"READ-ONLY"	"TIER-C"	"Sales Order Fulfilment delivery service, registered in QS4. Issue-resolution shape, not creation."	"SD_SOFM"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_SOFM_DELIVERY_SRV_01 v1"	""	"Watch only"	"YES"
"API-02"	"Create DI"	"API_DEL_DOC_WITH_CREDIT_BLOCK"	"API for Credit Blocked Delivery Document"	"SAP"	"02.05.2018"	"14.05.2020"	"DELIVERY"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Credit-block worklist."	""	"N/A"	"A credit-block worklist is not general delivery creation. Carried forward from the original shortlist."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-03"	"Create Invoice / Billing Documents"	"SD_CUSTOMER_INVOICES_CREATE"	"Create Customer Invoices"	"SAP"	"19.05.2014"	"12.05.2022"	""	"DIRECT"	"UNKNOWN"	"TIER-A"	"Create Customer Invoices, ALREADY REGISTERED in QS4. The handover treated billing creation as a gap because the OData V2 A2X billing service is read/cancel only; this project was never screened because it is not API_*."	"SD customer invoices"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_CUSTOMER_INVOICES_CREATE v1"	"Fiori app service; billing-creation semantics and predecessor rules unproven"	"DEEP DIVE - directly attacks the declared billing-creation gap"	"YES"
"API-03"	"Create Invoice / Billing Documents"	"SD_CUSTOMER_INVOICES_MANAGE"	"Manage Customer Invoices"	"SAP"	"19.05.2014"	"18.05.2022"	""	"DIRECT"	"UNKNOWN"	"TIER-B"	"Manage Customer Invoices; registered in QS4."	"SD customer invoices"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_CUSTOMER_INVOICES_MANAGE v1"	""	"Inspect with SD_CUSTOMER_INVOICES_CREATE"	"YES"
"API-03"	"Create Invoice / Billing Documents"	"API_BILLING_DOCUMENT"	"Remote API for SD Billing Document"	"SAP"	"03.07.2017"	"19.02.2020"	"BILLING"	"DIRECT"	"PARTIAL"	"TIER-A"	"A2X SD billing document. Official V2 surface is read/cancel/PDF; creation is documented only on the OData V4 successor which does not appear as a SEGW project."	"none"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Is API_BILLINGDOCUMENT V4 available in QS4?"	"DEEP DIVE per original plan"	"NO"
"API-03"	"Create Invoice / Billing Documents"	"SD_BILLINGDOC_PROCFLOW"	"SD Process Flow for Billing Document"	"SAP"	"22.07.2016"	"07.03.2022"	"BILLING"	"RELATED"	"READ-ONLY"	"TIER-C"	"SD process flow for billing document; registered. Could serve the v1.7 Stages[] status read."	"SD process flow"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_BILLINGDOC_PROCFLOW_SRV v1"	""	"Watch - candidate for ProcessStatus rather than creation"	"YES"
"API-03"	"Create Invoice / Billing Documents"	"SD_BIL_DOC_LIST_MANAGE"	"Manage billing documents lists / invoice lists"	"SAP"	"24.03.2017"	"24.04.2020"	"BILLING; INVOICE"	"RELATED"	"READ-ONLY"	"TIER-C"	"Billing/invoice lists; registered."	"SD billing lists"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_BIL_DOC_LIST_MANAGE_SRV v1"	""	"Watch only"	"YES"
"API-03"	"Create Invoice / Billing Documents"	"LE_SHP_DELIVERY_PICK"	"Delivery Pick"	"SAP"	"19.08.2014"	"19.08.2019"	""	"RELATED"	"UNKNOWN"	"TIER-B"	"Delivery Pick - the picking stage of the v1.7 API-03 chain."	"LE_SHP"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	"Inspect with the LE_SHP family"	"NO"
"API-03"	"Create Invoice / Billing Documents"	"API_OUTBOUND_DELIVERY_0002"	"Remote API for Outbound Delivery"	"SAP"	"04.06.2018"	"19.05.2022"	""	"DIRECT"	"PARTIAL"	"TIER-A"	"Supplies the picking, batch-split and PostGoodsIssue stages of the API-03 chain."	"outbound delivery"	"EXTRACTED 2026-08-15"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | OUTBOUND_DELIVERY_DELTA.md"	""	"Cover in the API-02/API-12 report"	"NO"
"API-03"	"Create Invoice / Billing Documents"	"API_SUBSQNT_BILLG_DOC_SBI"	"Display Subsequent Billing Document for Self-Billing"	"SAP"	"04.11.2019"	"19.05.2020"	"BILLING"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Self-billing display service."	""	"N/A"	"No CNF self-billing requirement is established. Carried forward and re-confirmed."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-03"	"Create Invoice / Billing Documents"	"API_JVA_BILLING"	"API for JVA Billing"	"SAP"	"24.04.2020"	"02.06.2020"	"BILLING"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Joint Venture Accounting billing."	""	"N/A"	"Wrong module."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-03"	"Create Invoice / Billing Documents"	"API_CN_VAT_INVOICE"	"API for China VAT Invoice"	"SAP"	"17.07.2019"	"12.10.2021"	"INVOICE"	"WRONG-OBJECT"	"NO"	"REJECTED"	"China VAT invoice."	""	"N/A"	"Wrong country localization."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-03"	"Create Invoice / Billing Documents"	"SD_PRE_BIL_DOC_MANAGE"	"Manage preliminary billing documents"	"SAP"	"05.04.2017"	"29.03.2022"	"BILLING"	"RELATED"	"NO"	"REJECTED"	"Preliminary billing documents."	""	"N/A"	"Preliminary/pro-forma billing is a different document stage from the CNF dispatch invoice."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_PRE_BIL_DOC_MANAGE v1"	""	""	"YES"
"API-04"	"Shipment Calculation"	"(none)"	"(no SEGW project)"	""	""	""	""	"NONE"	"NO"	"GAP-OUTSIDE-SEGW"	"Full 2,626-project screen finds NO shipment-cost or freight-cost service. Direct probes for SHIPMENTCOST, FREIGHT COST, TRANSPORT COST, VFK and LE_TRA all return zero hits."	""	"N/A"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered | Direct catalogue probes returned 0 hits for shipment-cost terms"	"Classic LE-TRA shipment cost vs TM vs external engine is unresolved"	"Answer the shipment model question, then look outside SEGW at BAPI_SHIPMENTCOST_CREATE / pricing simulation"	"NO"
"API-04"	"Shipment Calculation"	"TM_FRT_CALCERROR"	"Freight Order Calculation Errors"	"SAP"	"01.07.2019"	"18.03.2022"	"FREIGHT; TM"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Freight Order Calculation Errors."	"TM"	"N/A"	"An error-monitoring UI for TM freight orders, not a cost-estimation API. Re-confirmed against the full catalogue."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-04"	"Shipment Calculation"	"SCM_TM_FAG_MANAGE"	"Manage Freight Agreement"	"SAP"	"08.10.2018"	"21.10.2021"	"FREIGHT; TM"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Manage Freight Agreement."	"TM"	"N/A"	"Freight agreement master maintenance, not a per-delivery cost estimate."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-04"	"Shipment Calculation"	"/SCMTMS/FO_CONFIRMATION"	"Freight Orders for Confirmation"	"SAP"	"30.09.2015"	"19.04.2016"	"FREIGHT; SCMTMS"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Freight order confirmation."	"TM"	"N/A"	"Carried forward from the original shortlist and re-confirmed."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-04"	"Shipment Calculation"	"TSW_SHIPMENT_PLAN_VS_ACTUAL"	"Shipment Plan Vs Actual"	"SAP"	"23.08.2017"	"26.03.2018"	""	"WRONG-OBJECT"	"NO"	"REJECTED"	"TSW shipment plan vs actual."	"TSW"	"N/A"	"Trader and Scheduler Workbench is oil-and-gas bulk logistics, not cement road freight costing."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-04"	"Shipment Calculation"	"SD_PRICING_CONDITIONRECORD"	"SD Pricing Condition Record"	"SAP"	"16.06.2022"	"16.06.2022"	"CONDITION; PRICING"	"RELATED"	"UNKNOWN"	"TIER-C"	"SD Pricing Condition Record - v1.7 API-04 returns a ConditionRecord for traceability."	""	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: REGISTERED as SD_PRICING_CONDITIONRECORD_SRV v1"	"Only relevant if freight is priced through SD conditions"	"Watch; revisit after the shipment-model answer"	"YES"
"API-05"	"Stock Availability"	"API_MATERIAL_STOCK"	"OData Service for Material Stock API"	"SAP"	"03.05.2017"	"03.05.2017"	"MATERIAL STOCK; STOCK"	"DIRECT"	"LIKELY-COVERS"	"TIER-A"	"Raw on-hand stock by plant, storage location, batch and stock type - the material x storage-location grain v1.7 requires."	"none"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Does v1.7 need raw stock, ATP, or both?"	"DEEP DIVE - next in the queue"	"NO"
"API-05"	"Stock Availability"	"API_PRODUCT_AVAILY_INFO_BASIC"	"Basic remote API for ATP Info"	"SAP"	"13.02.2017"	"14.03.2017"	"AVAILY; ATP"	"RELATED"	"PARTIAL"	"TIER-A"	"ATP-calculated availability. Answers a different question from raw stock and must not be collapsed into it."	"none"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Same meaning gate as above"	"DEEP DIVE as the explicit comparator"	"NO"
"API-05"	"Stock Availability"	"MMIM_STOCKINDATERANGE"	"Service for Analyze Stock in Date Range"	"SAP"	"07.03.2022"	"18.03.2022"	"STOCK"	"RELATED"	"UNKNOWN"	"TIER-A"	"Analyze Stock in Date Range - the only screened project whose shape could supply v1.7 StockAgeingDays, which neither A2X stock candidate obviously provides."	"MMIM stock analytics"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Is stock ageing sourced from S/4 live or from Datasphere?"	"DEEP DIVE - the ageing requirement has no other candidate"	"NO"
"API-05"	"Stock Availability"	"MMIM_MATERIAL_OVERDUE_SIT"	"Material Overdue Stock in Transit"	"SAP"	"01.08.2016"	"15.10.2021"	"STOCK"	"RELATED"	"READ-ONLY"	"TIER-B"	"Material Overdue Stock in Transit - relates to the pending-MRN in-transit position."	"MMIM stock analytics"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"MRN model conflict C-14"	"Inspect if in-transit reporting enters scope"	"NO"
"API-05"	"Stock Availability"	"API_PHYSICAL_INVENTORY_DOC"	"OData Service for Physical Inventory API"	"SAP"	"26.10.2016"	"20.05.2021"	"PHYSICAL INVENTORY; INVENTORY"	"RELATED"	"PARTIAL"	"TIER-B"	"PI documents, counts and differences. Broader than the v1.7 read-only stock scope."	"physical inventory"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Does reconciliation post PI differences in SAP or stay in the portal?"	"Gate first; inspect only if PI posting is in scope"	"NO"
"API-05"	"Stock Availability"	"MM_IM_PHYS_INV_DOC"	"Physical Inventory Document"	"SAP"	"08.03.2016"	"24.06.2020"	"PHYSICAL INVENTORY; INVENTORY"	"RELATED"	"PARTIAL"	"TIER-C"	"Non-API_* physical inventory document service; sibling in meaning to API_PHYSICAL_INVENTORY_DOC."	"physical inventory"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	"Same gate"	"Compare with the A2X twin if PI enters scope"	"NO"
"API-05"	"Stock Availability"	"MMIM_DEADSTOCKMATERIAL"	"Dead stock material"	"SAP"	"24.07.2017"	"21.07.2020"	"STOCK"	"RELATED"	"READ-ONLY"	"TIER-C"	"Dead stock analysis - adjacent to ageing."	"MMIM stock analytics"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	"Watch only"	"NO"
"API-05"	"Stock Availability"	"MMIM_SLOWORNONMOVINGMATERIAL"	"Service for Slow or Non-Moving Material Query"	"SAP"	"14.07.2017"	"14.08.2020"	""	"RELATED"	"READ-ONLY"	"TIER-C"	"Slow or non-moving material query - adjacent to ageing."	"MMIM stock analytics"	"NOT STARTED"	""	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	"Watch only"	"NO"
"API-05"	"Stock Availability"	"API_PRODUCT_ALLOC_SEQUENCE"	"API for Product Allocation Sequence"	"SAP"	"05.05.2017"	"28.04.2022"	""	"WRONG-OBJECT"	"NO"	"REJECTED"	"Product allocation sequence configuration."	"product allocation"	"N/A"	"Allocation planning configuration is not depot stock. Carried forward and re-confirmed."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-05"	"Stock Availability"	"API_PRODUCT_ALLOCATION_OBJECT"	"API for Product Allocation Object"	"SAP"	"11.04.2017"	"16.03.2022"	""	"WRONG-OBJECT"	"NO"	"REJECTED"	"Product allocation object."	"product allocation"	"N/A"	"Same semantic mismatch."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
"API-05"	"Stock Availability"	"RETAILSTORE_COUNT_STOCK"	"Services for FIORI Count Stock App"	"SAP"	"09.03.2016"	"06.02.2021"	"STOCK"	"WRONG-OBJECT"	"NO"	"REJECTED"	"Fiori retail store count."	"retail store"	"N/A"	"Retail store app, wrong process and wrong org model for a cement depot."	"SEGW_PROJECT_CATALOG.tsv (2,626 rows) | CNF_BUSINESS_SEARCH_DICTIONARY.tsv | 522-row Gateway catalogue: not registered"	""	""	"NO"
